Default,age,card_age,cashAmt_mean,cashAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashTotalAmt,cashTotalCnt,inCourt,isBlackList,isCrime,isDue,monthCardLargeAmt,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,transAmt_mean,transAmt_non_null_months,transCnt_mean,transCnt_non_null_months,transTotalAmt,transTotalCnt,Default,maritalStatus_1,maritalStatus_2,maritalStatus_0,education_1,education_2,education_3,education_4,education_0,idVerify_0,idVerify_1,idVerify_2,threeVerify_1,threeVerify_2,threeVerify_0,Han_0,Han_1,netLength_1,netLength_2,netLength_3,netLength_4,netLength_0,sex_0,sex_1,sex_2,CityId_1,CityId_2,CityId_3,trans_total,total_withdraw,avg_per_withdraw,avg_per_online_spend,avg_per_public_spend,bad_record
0,36,60,1600,1,2,1,1600,2,0,0,0,0,14000,0.79,24840,9,0,0,6008.333333,6,1.333333333,6,36050,8,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,8011.111109,3200,800,2760,0,0
0,46,30,3400,3,2,3,10200,6,0,0,0,0,2190,0.9,0,0,0,0,547.5,4,0.25,4,2190,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,136.875,6800,1700,0,0,0
0,29,6,3550,4,2.5,4,14200,10,0,0,0,0,92170,0.63,15000,2,0,1,29093.33333,6,8.5,6,174580,57,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,247293.3333,8875,1420,7500,0,0
0,23,11,100,3,1,3,300,3,0,0,0,1,32000,0.38,360,46,1670,21,4448.75,8,1.5,8,35610,10,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,6673.125,100,100,7.826087,79.52381,1
0,26,25,0,0,0,0,0,0,0,0,0,0,500,0.79,-4170,12,1290,8,322.5,4,1.5,4,1290,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,483.75,0,0,-347.5,161.25,0
0,43,10,1300,4,2.75,4,5200,11,0,0,0,0,230,0.79,0,0,0,0,48.33333333,6,0.666666667,6,290,4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,32.222222,3575,472.727273,0,0,0
0,36,4,0,0,0,0,0,0,0,0,0,0,400,0.98,0,0,0,0,400,1,1,1,400,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,400,0,0,0,0,0
0,27,21,300,1,1,1,300,1,0,0,0,0,200,0.88,890,5,710,4,146.6666667,6,1,6,890,6,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,146.666667,300,300,178,177.5,0
0,30,5,0,0,0,0,0,0,1,1,0,1,20000,0.94,-13620,6,780,3,6926.666667,3,0.666666667,3,20780,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,4617.77778,0,0,-2270,260,3
0,33,14,525,4,1.25,4,2100,5,0,0,0,0,18080,0.54,-84670,150,3310,9,4337.5,8,3.875,8,34720,33,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,16807.8125,656.25,420,-564.466667,367.777778,0
0,27,13,642.8571429,7,2.714285714,7,4500,19,0,0,0,0,1430,0.29,-60740,93,1020,3,281,10,3.3,10,2830,33,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,927.3,1744.897959,236.842105,-653.11828,340,0
0,29,62,5000,1,1,1,5000,1,0,0,0,0,20000,0.83,17460,5,7280,2,8592,5,1.4,5,42970,7,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,12028.8,5000,5000,3492,3640,0
0,31,15,0,0,0,0,0,0,0,0,0,0,30000,0.92,40000,3,4500,1,14833.33333,3,1.333333333,3,44500,4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,19777.77777,0,0,13333.33333,4500,0
0,29,18,760,5,1.4,5,3800,7,0,0,0,0,2860,0.56,-4530,18,1300,2,828,10,1,10,8310,10,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,828,1064,542.857143,-251.666667,650,0
0,28,24,7600,2,3.5,2,15200,7,0,1,0,1,0,0.58,-86940,27,0,0,0,10,0,10,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,26600,2171.428571,-3220,0,2
0,40,22,8242.857143,7,5.571428571,7,57700,39,0,0,0,0,20310,0.06,29220,189,51210,69,9150.833333,12,8.666666667,12,109860,105,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,79307.22222,45924.48979,1479.487179,154.603175,742.173913,0
0,30,16,0,0,0,0,0,0,0,0,0,0,10,0.94,10,7,0,6,10,1,1,1,10,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,10,0,0,1.428571,0,0
0,31,4,0,0,0,0,0,0,0,0,0,0,2860,0.96,5720,2,0,0,2860,2,1,2,5720,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2860,0,0,2860,0,0
0,49,26,4990,10,3,10,49900,30,0,0,0,0,11000,0.62,8200,4,1000,1,1359,10,0.9,10,13610,9,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1223.1,14970,1663.333333,2050,1000,0
0,40,3,0,0,0,0,0,0,0,0,0,0,1810,0.98,0,0,0,0,1810,1,1,1,1810,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1810,0,0,0,0,0
0,31,29,466.6666667,3,1,3,1400,3,0,0,0,0,99910,0.21,-1384530,231,4410,3,27358.33333,12,4.5,12,328330,54,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,123112.5,466.666667,466.666667,-5993.636364,1470,0
0,52,23,0,0,0,0,0,0,0,0,0,0,119750,0.67,268540,45,108590,12,53151.66667,6,7.5,6,318930,48,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,398637.5,0,0,5967.555556,9049.166667,0
0,38,30,0,0,0,0,0,0,1,1,0,0,200,0.94,0,0,0,0,93.33333333,3,1,3,280,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,93.333333,0,0,0,0,2
0,24,7,5200,3,3.666666667,3,15600,11,0,0,0,1,14900,0.88,250,4,0,0,4332,5,1.2,5,21670,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,5198.4,19066.66667,1418.181818,62.5,0,1
0,30,45,0,0,0,0,0,0,0,0,0,0,1230,0.9,0,0,0,0,1000,2,2.5,2,2010,5,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2500,0,0,0,0,0
0,56,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-89400,10,-384200,50,0,12,0.166666667,12,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-8940,-7684,0
0,37,28,1430,10,4.3,10,14300,43,0,0,0,0,49200,0.12,-7810,123,2470,11,4902.5,12,5.916666667,12,58870,72,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,29006.45834,6149,332.55814,-63.495935,224.545455,0
0,46,70,5900,3,4,3,17700,12,0,0,0,0,74460,0.48,-52130,12,0,0,11830,9,2,9,106500,18,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,23660,23600,1475,-4344.166667,0,0
0,41,4,6033.333333,3,3.333333333,3,18100,10,0,0,0,0,1980,0.81,0,0,0,0,792.5,4,3.75,4,3180,15,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2971.875,20111.11111,1810,0,0,0
0,51,2,5500,1,5,1,5500,5,0,0,0,0,0,0.98,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,27500,1100,0,0,0
0,32,23,333.3333333,3,1.333333333,3,1000,4,0,0,0,0,3060,0.58,-79380,21,790,2,1165,10,1.9,10,11680,18,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2213.5,444.444444,250,-3780,395,0
0,30,16,0,0,0,0,0,0,0,0,0,0,320,0.96,70,2,0,0,320,1,3,1,320,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,960,0,0,35,0,0
0,52,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,37,16,3133.333333,3,1.666666667,3,9400,5,0,0,0,0,23920,0.23,-77370,69,49490,24,7693.333333,12,3.5,12,92370,42,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,26926.66667,5222.222223,1880,-1121.304348,2062.083333,0
0,28,53,0,0,0,0,0,0,0,0,0,0,26700,0.79,37110,9,0,0,6355.714286,7,2.142857143,7,44500,15,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,13619.38776,0,0,4123.333333,0,0
0,29,44,3500,2,2,2,7000,4,0,0,0,0,550,0.88,0,0,0,0,210,4,1,4,840,4,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,210,7000,1750,0,0,0
